,Unnamed: 0_x,Date,Open,High,Low,Close,Adj Close,Volume,adj_1,adj_7,adj_30,adj_90,adj_1_change,adj_7_change,adj_30_change,adj_90_change,Unnamed: 0_y,avg_adj_1_change,avg_adj_7_change,avg_adj_30_change,avg_adj_90_change
80,80,2022-03-24,9.4,9.509,9.07,9.47,9.47,30175800,9.01,9.45,6.29,5.54,-0.0485744456177402,-0.0327533265097236,-0.0396946564885496,-0.0035971223021582,2670.0,-0.0477611488624104,-0.0181983365627022,-0.0497938356093809,-0.0498783191238218
81,81,2022-03-25,9.42,9.42,8.91,9.01,9.01,42524700,9.25,9.33,6.15,5.27,0.0266370699223086,-0.0126984126984126,-0.0222575516693163,-0.0487364620938629,2671.0,0.0237974618086237,0.0014463261881083,-0.0280469400283821,-0.0430557062315312
82,82,2022-03-28,9.03,9.28,8.84,9.25,9.25,33300900,10.14,9.77,6.45,5.41,0.0962162162162163,0.0471596998928187,0.048780487804878,0.0265654648956357,2674.0,0.0878861881954307,0.0222345761732284,0.0887895610186422,0.0124353620617513
83,83,2022-03-29,9.25,10.21,9.22,10.14,10.14,72805100,9.77,9.12,6.12,5.84,-0.0364891518737673,-0.0665301944728762,-0.0511627906976743,0.0794824399260627,2675.0,-0.0362838726277156,-0.056582134363385,-0.0573172059159862,0.0798194745100795
84,84,2022-03-30,10.03,10.57,9.632,9.77,9.77,59785700,9.45,8.75,6.33,5.9,-0.0327533265097236,-0.0405701754385964,0.0343137254901961,0.0102739726027398,2676.0,-0.0181983365627022,-0.0459409638556561,0.0537636092132117,-0.0107735704400676
85,85,2022-03-31,9.82,9.87,9.42,9.45,9.45,33702800,9.33,8.12,6.4,6.26,-0.0126984126984126,-0.072,0.0110584518167458,0.0610169491525423,2677.0,0.0014463261881083,-0.0318539731818839,0.0059428723812175,0.0624744665432869
86,86,2022-04-01,9.47,9.62,9.21,9.33,9.33,29654500,9.77,7.87,7.14,6.19,0.0471596998928187,-0.0307881773399013,0.1156249999999998,-0.0111821086261979,2678.0,0.0222345761732284,-0.0223609855729011,0.0734791922318692,-0.0500758302123839
87,87,2022-04-04,9.42,10.03,9.4,9.77,9.77,34363300,9.12,7.72,6.83,6.01,-0.0665301944728762,-0.0190597204574333,-0.0434173669467786,-0.0290791599353797,2681.0,-0.056582134363385,-0.0180773561527511,-0.0723804069690728,-0.0423787273702309
88,88,2022-04-05,9.83,10.095,9.09,9.12,9.12,47197100,8.75,7.48,6.44,6.04,-0.0405701754385964,-0.0310880829015542,-0.0571010248901903,0.0049916805324459,2682.0,-0.0459409638556561,-0.0217462082460023,-0.0495986293988431,0.0236763537600284
89,89,2022-04-06,8.98,9.03,8.46,8.75,8.75,56769400,8.12,7.61,5.97,5.95,-0.072,0.0173796791443849,-0.0729813664596273,-0.0149006622516556,2683.0,-0.0318539731818839,0.0253557922626586,-0.0941547500674227,-0.0371436887807289
90,90,2022-04-07,8.275,8.385,7.64,8.12,8.12,109248300,7.87,7.26,5.25,5.91,-0.0307881773399013,-0.0459921156373194,-0.1206030150753768,-0.0067226890756302,2684.0,-0.0223609855729011,-0.0506777635365207,-0.151754099092561,-0.0117654319905856
