,Graph,"Sep 25, 2022","Aug 25, 2022","Jul 25, 2022","Jun 25, 2022","May 25, 2022","Apr 25, 2022","Mar 25, 2022","Feb 25, 2022","Jan 25, 2022","Dec 25, 2021","Nov 25, 2021","Oct 25, 2021","Sep 25, 2021","Aug 25, 2021","Jul 25, 2021","Jun 25, 2021","May 25, 2021","Apr 25, 2021","Mar 25, 2021","Feb 25, 2021","Jan 25, 2021","Dec 25, 2020","Nov 25, 2020","Oct 25, 2020","Sep 25, 2020","Aug 25, 2020","Jul 25, 2020","Jun 25, 2020","May 25, 2020","Apr 25, 2020","Mar 25, 2020","Feb 01, 2020"
Accum Net Loss,,"11,772,249.83","11,573,704.20","11,320,230.63","11,177,040.93","11,001,770.85","10,807,397.40","10,769,787.09","10,409,453.49","10,240,972.42","9,895,396.18","9,490,500.70","9,138,298.04","9,001,452.39","8,462,167.14","8,142,326.83","7,820,542.25","7,130,162.58","6,649,925.56","5,925,156.93","5,088,338.12","4,538,772.77","4,012,599.57","3,295,664.87","2,379,998.67","1,882,653.38","1,362,457.69","732,842.45","248,047.33","59,936.20","37,320.84",0.00,-
Collected Interest,,"619,293.19","672,480.42","725,051.33","787,223.75","855,125.65","894,440.95","969,637.97","1,101,498.12","1,167,193.07","1,214,793.83","1,337,955.87","1,425,057.55","1,557,562.71","1,645,268.64","1,761,254.55","1,882,171.39","1,995,753.18","2,056,995.59","2,157,964.93","2,417,361.24","2,460,958.33","2,544,058.95","2,703,646.60","2,824,150.86","3,020,770.59","3,113,355.30","3,236,407.03","3,260,501.27","3,325,721.28","3,421,653.29","2,804,947.69",-
Collected Principal,,"4,492,992.44","5,212,615.56","5,714,667.97","5,667,969.54","6,895,939.43","7,362,378.30","7,293,904.72","7,974,024.50","8,228,778.08","7,343,506.78","9,644,186.13","10,185,823.16","11,125,958.69","11,978,251.32","11,065,720.62","12,003,042.18","12,150,205.62","12,368,178.39","11,936,169.55","12,529,390.73","11,515,382.81","12,097,054.65","12,151,930.79","12,941,339.90","13,761,652.52","15,371,967.38","15,600,198.11","14,154,917.95","13,848,422.58","13,836,950.95","12,278,023.54",-
Current Princ Liquidation,,"212,342.66","380,186.69","237,439.94","215,917.08","231,301.02","112,761.28","422,875.96","217,604.58","370,233.50","491,744.02","399,289.57","254,484.60","587,399.92","428,193.16","394,428.56","748,444.38","578,675.60","821,398.40","900,671.48","600,096.60","603,910.60","790,450.19","942,517.90","526,966.30","579,384.53","665,156.76","484,795.12","188,111.13","22,615.36","37,320.84",0.00,-
Current Princ Recovery,,"13,797.03","126,713.12","94,250.24","40,647.00","36,927.57","75,150.97","62,542.36","49,123.51","24,657.26","86,848.54","47,086.91","117,638.95","48,114.67","108,352.85","72,643.98","58,064.71","98,438.58","96,629.77","63,852.67","50,531.25","77,737.40","73,515.49","26,851.70","29,621.01","59,188.84","35,541.52",0.00,0.00,0.00,0.00,0.00,-
Current Princ Loss,,"198,545.63","253,473.57","143,189.70","175,270.08","194,373.45","37,610.31","360,333.60","168,481.07","345,576.24","404,895.48","352,202.66","136,845.65","539,285.25","319,840.31","321,784.58","690,379.67","480,237.02","724,768.63","836,818.81","549,565.35","526,173.20","716,934.70","915,666.20","497,345.29","520,195.69","629,615.24","484,795.12","188,111.13","22,615.36","37,320.84",0.00,-
Current Repurchased Principal,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"36,324.66",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
OC Target,,"6,125,389.67","6,619,449.86","7,206,624.32","7,831,595.65","8,449,373.74","9,197,733.99","9,982,623.65","10,792,885.62","11,652,813.36","12,555,544.56","13,377,256.51","14,430,921.68","15,526,887.34","16,755,967.07","18,058,090.53","19,260,590.08","20,598,311.55","21,932,775.78","23,316,305.69","24,661,939.23","26,038,938.54","27,310,309.04","28,666,523.40","30,039,931.58","31,452,197.59","32,957,340.42","34,640,835.51","36,329,432.99","37,834,732.68","39,291,117.13","40,747,915.67","42,000,007.23"
OC Deficiency,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,541,073.03","6,493,993.41","10,492,753.16","13,999,938.41"
OC Actual,,"6,125,389.67","6,619,449.86","7,206,624.32","7,831,595.65","8,449,373.74","9,197,733.99","9,982,623.65","10,792,885.62","11,652,813.36","12,555,544.56","13,377,256.51","14,430,921.68","15,526,887.34","16,755,967.07","18,058,090.53","19,260,590.08","20,598,311.55","21,932,775.78","23,316,305.69","24,661,939.23","26,038,938.54","27,310,309.04","28,666,523.40","30,039,931.58","31,452,197.59","32,957,340.42","34,640,835.51","36,329,432.99","35,293,659.65","32,797,123.72","30,255,162.51","28,000,068.82"
